Scheme_Code,Category,Scheme_Name,AMC_Name
119066,Children's Fund,HDFC Childrens Fund - Direct Plan,HDFC Mutual Fund
146349,Retirement Fund,ICICI Prudential Retirement Fund - Pure Equity - Direct Plan - Growth Option,ICICI Prudential Mutual Fund
146721,Retirement Fund,ICICI Prudential Retirement Fund - Hybrid Aggressive - Direct Plan - Growth Option,ICICI Prudential Mutual Fund
146575,Retirement Fund,Aditya Birla Sun Life Retirement Fund-The 30s Plan-Direct Growth,Aditya Birla Sun Life Mutual Fund
119251,Retirement Fund,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,Tata Mutual Fund
133568,Retirement Fund,Nippon India Retirement Fund- Wealth Creation Scheme- Direct Plan- Growth Plan - Growth Option,Nippon India Mutual Fund
118989,Mid Cap Fund,HDFC Mid Cap Fund - Growth Option - Direct Plan,HDFC Mutual Fund
118527,Dividend Yield Fund,Franklin India Dividend Yield Fund - Direct - Growth,Franklin Templeton Mutual Fund
119128,Equity Savings Fund,HDFC Equity Savings Fund - Growth Option - Direct Plan,HDFC Mutual Fund
120473,Gold Category,Axis Gold Fund - Direct Plan - Growth Option,Axis Mutual Fund
118663,Gold Category,Nippon India Gold Savings Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund
120438,Banking & PSU Debt Fund,Axis Banking & PSU Debt Fund - Direct Plan - Growth Option,Axis Mutual Fund
